指数日期,金额
2013-01-02,146.5
2013-01-03,150.75
2013-01-04,155.75
2013-01-07,156.5
2013-01-08,159
2013-01-09,159.25
2013-01-10,158.75
2013-01-11,155.25
2013-01-14,155.25
2013-01-15,151.25
2013-01-16,147
2013-01-17,144.5
2013-01-18,144.75
2013-01-21,146
2013-01-22,146.25
2013-01-23,146.75
2013-01-24,147.25
2013-01-25,148
2013-01-28,148.25
2013-01-29,148
2013-01-30,151
2013-01-31,153
2013-02-01,154
2013-02-04,155
2013-02-05,155
2013-02-06,155.25
2013-02-07,155.25
2013-02-08,155.25
2013-02-12,155.25
2013-02-13,155.25
2013-02-14,155.25
2013-02-15,155.25
2013-02-18,158
2013-02-19,159
2013-02-20,160
2013-02-21,157
2013-02-22,152.5
2013-02-25,151.5
2013-02-26,151.5
2013-02-27,150.5
2013-02-28,150.75
2013-03-01,150
2013-03-04,146.5
2013-03-05,145.25
2013-03-06,146.25
2013-03-07,147
2013-03-08,147
2013-03-11,146.25
2013-03-12,145.5
2013-03-13,139.75
2013-03-14,133.75
2013-03-15,134.25
2013-03-18,134
2013-03-19,133.5
2013-03-20,133.25
2013-03-21,133.25
2013-03-22,134.75
2013-03-25,136
2013-03-26,137.25
2013-03-27,138
2013-03-28,138
2013-04-01,135.75
2013-04-02,136
2013-04-03,136
2013-04-04,136
2013-04-05,136
2013-04-08,138.25
2013-04-09,139.5
2013-04-10,141.25
2013-04-11,142
2013-04-12,142
2013-04-15,141
2013-04-16,139.25
2013-04-17,139
2013-04-18,138
2013-04-19,137.75
2013-04-22,137.5
2013-04-23,136.5
2013-04-24,135.75
2013-04-25,135.75
2013-04-26,134.5
2013-04-29,134
2013-04-30,133.75
2013-05-02,130.5
2013-05-03,128.5
2013-05-06,128.75
2013-05-07,131
2013-05-08,131
2013-05-09,131
2013-05-10,130.75
2013-05-13,130
2013-05-14,129
2013-05-15,127.5
2013-05-16,125.5
2013-05-17,123.5
2013-05-20,123.5
2013-05-21,124.5
2013-05-22,124.75
2013-05-23,123
2013-05-27,121.25
2013-05-28,118.75
2013-05-29,114.75
2013-05-30,111.5
2013-05-31,109.75
2013-06-03,113.25
2013-06-04,116
2013-06-05,116.75
2013-06-06,112.25
2013-06-07,110.75
2013-06-10,110.75
2013-06-11,110.75
2013-06-12,110.75
2013-06-13,110.75
2013-06-14,113.75
2013-06-17,115.75
2013-06-18,117.25
2013-06-19,120
2013-06-20,120
2013-06-21,118.75
2013-06-24,115.5
2013-06-25,113.75
2013-06-26,112.75
2013-06-27,115.5
2013-06-28,116.25
2013-07-01,116.75
2013-07-02,118.75
2013-07-03,120.75
2013-07-04,125
2013-07-05,124
2013-07-08,121.5
2013-07-09,123
2013-07-10,124
2013-07-11,126.5
2013-07-12,128
2013-07-15,129
2013-07-16,129.25
2013-07-17,129.5
2013-07-18,131.5
2013-07-19,132
2013-07-22,131
2013-07-23,131
2013-07-24,131
2013-07-25,131.5
2013-07-26,131.5
2013-07-29,131
2013-07-30,130.5
2013-07-31,130
2013-08-01,129.75
2013-08-02,129.75
2013-08-05,130.25
2013-08-06,131.5
2013-08-07,133.5
2013-08-12,140
2013-08-13,142
2013-08-14,142.5
2013-08-15,140.5
2013-08-16,138
2013-08-19,137
2013-08-20,136.5
2013-08-21,136.5
2013-08-22,137.5
2013-08-23,138.5
2013-08-26,139.5
2013-08-27,141
2013-08-28,140
2013-08-29,139
2013-08-30,139
2013-09-02,139
2013-09-03,138.5
2013-09-04,138
2013-09-05,137
2013-09-06,136
2013-09-09,135.75
2013-09-10,135.25
2013-09-11,135
2013-09-12,135.75
