Date,Quantity
2018-08-24,9356.89
2018-08-31,9131.89
2018-09-07,9057.39
2018-09-14,8955.56
2018-09-21,8948.75
2018-09-28,8658.32
2018-10-12,8410.43
2018-10-19,8351.47
2018-10-26,8364.48
2018-11-02,8114.6
2018-11-09,8046.49
2018-11-16,8044.08
2018-11-22,7989.84
2018-11-30,7824.84
2018-12-07,7727.82
2018-12-14,7697.47
2018-12-21,7664.9
2018-12-28,7646.99
2019-01-04,7692.5
2019-01-11,7592.61
2019-01-18,7596.2
2019-01-25,7416.47
2019-02-01,7344.91
2019-02-15,7361.1
2019-02-22,7492.7
2019-02-28,7512.64
2019-03-07,7446.98
2019-03-14,7428.24
2019-03-21,7414.33
2019-03-28,7361.48
2019-04-04,7363.01
2019-04-11,6958.81
2019-04-18,6622.08
2019-04-25,6327.7
2019-05-02,6416.43
2019-05-09,6346.47
2019-05-16,6263.92
2019-05-23,6057.78
2019-05-30,5770.04
2019-06-06,5839.06
2019-06-13,5686.52
2019-06-20,5756.26
2019-06-27,5635.88
2019-07-07,5671.11
2019-07-11,5750.78
2019-07-18,5806.58
2019-07-25,5734.76
2019-08-01,5912.83
2019-08-08,5926.96
2019-08-15,5862.99
2019-08-22,6162.55
2019-08-29,6234.9
2019-09-05,6170.29
2019-09-14,5964.62
2019-09-21,6160.17
2019-09-28,6112.32
2019-10-12,6596.24
2019-10-19,6622.3
2019-10-26,6700.86
2019-11-02,6613.9
2019-11-09,6601.22
2019-11-16,6540.3
2019-11-22,6555.15
2019-11-30,6446.43
2019-12-07,6459.48
2019-12-14,6419.72
2019-12-21,6814.87
2019-12-28,6885.56
2020-01-03,6837.52
2020-01-09,6750.93
2020-01-16,6824.03
2020-01-23,6787.14
2020-02-07,6985.36
2020-02-14,7032.0
2020-02-21,6918.97
2020-02-27,6749.24
2020-03-06,6676.01
2020-03-13,6550.68
2020-03-20,6593.64
2020-03-27,6528.37
2020-04-03,6406.46
2020-04-10,6443.1
2020-04-17,6474.2
2020-04-24,6406.8
2020-05-01,6373.22
2020-05-08,6227.63
2020-05-15,6395.19
2020-05-22,6303.0
2020-05-29,6101.28
2020-06-05,6051.3
2020-06-12,6129.5
2020-06-19,6071.54
2020-06-26,6133.5
2020-07-03,6149.1
2020-07-11,5991.27
2020-07-17,6132.6
2020-07-24,6320.91
2020-07-31,6263.78
2020-08-08,6123.99
2020-08-15,5882.41
2020-08-22,5785.63
2020-08-29,5735.16
2020-09-05,5660.0
2020-09-14,5778.94
2020-09-21,5675.75
2020-09-25,5736.58
2020-09-30,5898.87
2020-10-12,5901.83
2020-10-19,5853.4
2020-10-26,5858.12
2020-11-02,6030.02
2020-11-09,6071.8
2020-11-16,5977.3
2020-11-21,5988.45
2020-11-28,5956.6
2020-12-05,5856.2
2020-12-12,5800.4
2020-12-19,5826.9
2020-12-26,5862.3
2020-12-31,5916.5
2021-01-08,5859.8
2021-01-15,5869.3
2021-01-22,5755.0
2021-01-29,5825.5
2021-02-07,5849.2
2021-02-19,5996.7
2021-02-26,6018.3
2021-03-04,6151.6
2021-03-11,6228.8
2021-03-18,6347.3
2021-03-25,6381.1
2021-04-01,6461.9
2021-04-08,6485.6
2021-04-15,6758.2
2021-04-22,6720.1
2021-04-29,6638.52
2021-05-06,6623.04
2021-05-15,6500.46
2021-05-20,6463.07
2021-05-29,6530.85
2021-06-05,6520.32
2021-06-12,6318.37
2021-06-17,6211.71
2021-06-26,6252.3
2021-07-03,6339.3
2021-07-11,6493.5
2021-07-17,6538.04
2021-07-24,6628.68
2021-07-31,6594.31
2021-08-08,6392.7
2021-08-15,6411.8
2021-08-22,6414.73
2021-08-29,6548.24
2021-09-05,6531.18
2021-09-14,6481.58
2021-09-21,6414.89
2021-09-25,6273.05
2021-09-30,6485.66
2021-10-12,6473.5
2021-10-19,6711.3
2021-10-26,6799.2
2021-11-02,6930.42
2021-11-09,7056.82
2021-11-16,7118.55
2021-11-21,7079.56
2021-11-28,7077.95
2021-12-05,7163.4
2021-12-12,7199.42
2021-12-19,7295.6
2021-12-26,7124.4
2021-12-31,7169.87
