QUOTEDATE,SpotDZYangDiPowder,SpotDZPB_Powder,SpotDZJinBubaPowder,SpotDZKaraLaraFinePowder,SpotDZKaraJagasPowder,SpotDZBaMixBRBF,SpotDZUltraSpecialPowder,PusiIndex62USD,SpotDiscountPort,BaseDZYangDiPowder,BaseDZUltraSpecialPowder,BaseDZPB_Powder,BaseDZJinBubaPowder,SwapJan,SwapMay,SwapSep,ImportProfitJan,ImportProfitMay,ImportProfitSep,RebarMineRatioSpot,RebarMineRatioJan,RebarMineRatioMay,RebarMineRatioOct,date
2022-05-05,945.0,982.0,828.0,1275.0,1190.0,1080.0,760.0,145.8,1120.0,152.0,-26.0,57.0,-14.0,145.2,143.47,140.06,-133.81,-239.37,-262.37,4.87,5.26,5.65,5.84,2023-11-16
2022-05-06,930.0,940.0,800.0,1255.0,1156.0,1043.0,724.0,139.0,1080.0,175.0,-25.0,51.0,-4.0,138.44,136.46,133.07,-115.35,-225.66,-250.5,5.04,5.35,5.74,5.96,2023-11-16
2022-05-09,920.0,920.0,815.0,1255.0,1133.0,1020.0,710.0,131.35,1031.0,165.0,-39.0,29.0,13.0,131.99,127.47,124.02,-77.83,-186.95,-208.09,5.07,5.38,5.77,6.02,2023-11-16
2022-05-10,880.0,898.0,785.0,1241.0,1116.0,996.0,692.0,128.1,1010.0,127.0,-52.0,12.0,-13.0,130.27,123.32,119.67,-79.79,-191.25,-213.16,5.14,5.4,5.91,6.21,2023-11-16
2022-05-11,915.0,933.0,802.0,1265.0,1151.0,1031.0,718.0,133.5,1053.0,111.0,-79.0,-5.0,-50.0,134.2,129.16,125.53,-58.06,-196.83,-219.29,4.94,5.06,5.7,5.96,2023-11-16
2022-05-12,900.0,915.0,792.0,1248.0,1113.0,1016.0,705.0,127.56,1008.0,140.0,-48.0,21.0,-15.0,130.16,122.9,119.38,-75.21,-176.5,-194.24,5.07,5.26,5.79,6.03,2023-11-16
2022-05-13,904.0,929.0,805.0,1268.0,1123.0,1031.0,721.0,127.35,1015.0,146.0,-28.0,38.0,1.0,130.93,124.37,120.8,-83.09,-160.71,-179.56,4.97,5.29,5.67,5.9,2023-11-16
2022-05-16,904.0,939.0,810.0,1285.0,1151.0,1039.0,731.0,,,262.0,98.0,165.0,122.0,127.19,123.56,132.5,-179.36,-197.01,,4.91,5.61,5.8,5.61,2023-11-16
2022-05-17,914.0,934.0,815.0,1269.0,1143.0,1035.0,730.0,130.15,1036.0,279.0,103.0,165.0,133.0,125.13,121.44,131.58,-168.67,-183.87,,4.93,5.61,5.82,,2023-11-16
2022-05-18,895.0,907.0,790.0,1245.0,1120.0,1006.0,701.0,126.6,1003.0,296.0,109.0,173.0,144.0,121.79,118.0,129.92,-180.83,-192.77,,5.01,5.73,5.95,,2023-11-16
2022-05-19,900.0,925.0,801.0,1251.0,1131.0,1025.0,718.0,129.4,1025.0,274.0,101.0,166.0,129.0,118.59,114.72,122.75,-123.49,-135.0,-218.68,4.88,5.6,5.78,5.85,2023-11-16
2022-05-20,922.0,947.0,822.0,1275.0,1153.0,1048.0,740.0,136.25,1077.0,274.0,100.0,166.0,127.0,128.8,123.52,119.19,-178.27,-186.48,-176.44,4.79,5.51,5.73,5.79,2023-11-16
2022-05-23,953.0,965.0,845.0,1275.0,1168.0,1064.0,765.0,135.95,1064.0,287.0,106.0,165.0,131.0,128.6,123.04,118.54,-155.21,-168.31,-159.99,4.68,5.33,5.59,5.68,2023-11-16
2022-05-24,925.0,934.0,813.0,1255.0,1141.0,1035.0,735.0,130.5,1020.0,289.0,107.0,164.0,130.0,124.2,119.08,114.6,-144.39,-163.27,-154.48,4.78,5.38,5.68,5.78,2023-11-16
2022-05-25,932.0,950.0,825.0,1255.0,1157.0,1051.0,751.0,133.4,1041.0,275.0,103.0,160.0,121.0,126.56,121.51,117.1,-137.98,-155.99,-146.82,4.7,5.33,5.6,5.68,2023-11-16
2022-05-26,917.0,937.0,810.0,1251.0,1129.0,1036.0,738.0,131.25,1028.0,277.0,107.0,163.0,123.0,124.9,119.86,115.5,-143.27,-158.87,-149.58,4.75,5.4,5.68,5.75,2023-11-16
2022-05-27,945.0,959.0,835.0,1273.0,1154.0,1060.0,763.0,134.45,1062.0,278.0,104.0,158.0,120.0,128.76,123.7,119.32,-145.94,-165.26,-161.22,4.67,5.3,5.59,5.69,2023-11-16
