Date,Quantity
2019/2/2,313
2019/2/14,266.76
2019/2/26,283.3
2019/2/28,292.31
2019/3/7,266.11
2019/3/14,248.73
2019/3/21,292.8
2019/3/28,277.14
2019/4/4,276.58
2019/4/11,289.83
2019/4/18,280.25
2019/4/25,283
2019/5/1,292.82
2019/5/9,297.9
2019/5/16,293.5
2019/5/23,297.14
2019/5/30,289.89
2019/6/6,295
2019/6/13,291.61
2019/6/24,281.68
2019/6/27,287.73
2019/7/4,281.02
2019/7/11,290.3
2019/7/18,291.85
2019/7/25,286.64
2019/8/1,262.1
2019/8/8,293.89
2019/8/15,254.65
2019/8/22,308.5
2019/8/29,310.4
2019/9/5,317.93
2019/9/12,317
2019/9/19,314.23
2019/9/26,287
2019/10/11,309.5
2019/10/18,301.22
2019/10/25,268.44
2019/11/1,312.19
2019/11/8,295.24
2019/11/15,316.43
2019/11/22,306.13
2019/11/29,304.35
2019/12/6,313.99
2019/12/13,318
2019/12/20,271.43
2019/12/27,305.82
2020/1/3,308.14
2020/1/9,304.42
2020/1/16,317.23
2020/1/23,300.15
2020/2/7,264.24
2020/2/19,275.9
2020/2/21,283.37
2020/2/28,296.24
2020/3/7,285.9
2020/3/14,301.11
2020/3/21,299.33
2020/3/28,310.56
2020/4/4,303.22
2020/4/11,304.11
2020/4/18,304.14
2020/4/25,305.69
2020/5/1,318.43
2020/5/9,316.44
2020/5/13,309.58
2020/5/16,300.61
2020/5/23,308.14
2020/5/30,301.94
2020/6/6,314.08
2020/6/13,296.3
2020/6/24,310.29
2020/6/27,319.67
2020/7/4,315.38
2020/7/11,315.98
2020/7/18,310.59
2020/7/25,280.35
2020/8/1,310.87
2020/8/8,315.87
2020/8/15,328.62
2020/8/22,327.36
2020/8/29,310.66
2020/9/5,325.55
2020/9/12,313.84
2020/9/19,317.6
2020/9/26,312.89
2020/10/9,292.81
2020/10/11,317.7
2020/10/18,311.85
2020/10/25,308.29
2020/11/1,313.06
2020/11/8,319.86
2020/11/15,317.41
2020/11/22,322.33
2020/11/29,321.33
2020/12/6,319.22
2020/12/13,306.15
2020/12/20,297.16
2020/12/27,303.96
2020/12/31,280.1
2021/1/9,302.26
2021/1/16,296.5
2021/1/23,318.76
2021/1/29,304.07
2021/2/7,328.01
2021/2/19,284.85
2021/2/28,294.97
2021/3/7,271.52
2021/3/14,278.57
2021/3/21,282.31
2021/3/28,306.54
2021/4/4,293.78
2021/4/11,280.91
2021/4/18,290.01
2021/4/25,284.4
2021/5/1,303.44
2021/5/9,296.13
2021/5/16,301.13
2021/5/23,291.37
2021/5/30,290.09
2021/6/6,294.46
2021/6/13,298.29
2021/6/17,300.53
2021/6/24,294.98
2021/7/3,258.28
2021/7/11,285.43
2021/7/18,277.09
2021/7/25,284.24
2021/8/1,248.82
2021/8/8,284.37
2021/8/15,299.17
2021/8/22,295.11
2021/8/29,296.48
2021/9/5,291.68
2021/9/12,283.26
2021/9/19,274.23
2021/9/26,281.8
2021/9/30,286.56
2021/10/11,274.19
2021/10/18,267.42
2021/10/25,276.33
2021/11/1,289.39
2021/11/8,283.79
2021/11/15,271.85
